Solar,Wind,CCGT,Coal,Battery
0.003938017,0.533390441,1,1,1
0,0.513005252,1,1,1
0,0.518819049,1,1,1
0,0.481426398,1,1,1
0,0.475112329,1,1,1
0,0.469124866,1,1,1
0,0.468391226,1,1,1
0,0.453982158,1,1,1
0,0.411274379,1,1,1
0,0.376903493,1,1,1
0,0.356235027,1,1,1
0,0.375654987,1,1,1
0,0.403652998,1,1,1
0.011005017,0.44255232,1,1,1
0.069077004,0.481151871,1,1,1
0.154951232,0.522985055,1,1,1
0.246713772,0.601281128,1,1,1
0.317975189,0.639069603,1,1,1
0.349430059,0.648035032,1,1,1
0.335961089,0.648508453,1,1,1
0.278815232,0.651597192,1,1,1
0.187065963,0.668485843,1,1,1
0.092953165,0.640269779,1,1,1
0.030984036,0.630083993,1,1,1
0.004122728,0.621015089,1,1,1
1.01E-08,0.643317126,1,1,1
0,0.632946986,1,1,1
0,0.651405056,1,1,1
0,0.647727402,1,1,1
0,0.623190597,1,1,1
0,0.624939362,1,1,1
0,0.61874482,1,1,1
0,0.537424408,1,1,1
0,0.527225396,1,1,1
0,0.524109939,1,1,1
0,0.532197233,1,1,1
0,0.538427807,1,1,1
0.010982355,0.54141353,1,1,1
0.069101996,0.56829896,1,1,1
0.155172057,0.597654945,1,1,1
0.247246941,0.653689803,1,1,1
0.318887123,0.695721348,1,1,1
0.350719988,0.728445053,1,1,1
0.33759317,0.692934388,1,1,1
0.280709205,0.681892424,1,1,1
0.188965446,0.664631008,1,1,1
0.094333328,0.650298952,1,1,1
0.031646002,0.628199416,1,1,1
0.004319508,0.605448473,1,1,1
6.70E-08,0.58169796,1,1,1
0,0.571775063,1,1,1
0,0.555061745,1,1,1
0,0.537605421,1,1,1
0,0.52752791,1,1,1
0,0.521639732,1,1,1
0,0.509129281,1,1,1
0,0.467035709,1,1,1
0,0.423734803,1,1,1
0,0.41401779,1,1,1
0,0.416283192,1,1,1
0,0.438451917,1,1,1
0.010983004,0.43460734,1,1,1
0.069183326,0.450806893,1,1,1
0.155476216,0.477819521,1,1,1
0.247882281,0.522927751,1,1,1
0.319906685,0.559117434,1,1,1
0.3521157,0.561288939,1,1,1
0.339326222,0.560355376,1,1,1
0.282697239,0.559937459,1,1,1
0.19095055,0.547024524,1,1,1
0.095775685,0.546656759,1,1,1
0.032340261,0.543302709,1,1,1
0.004528914,0.542459056,1,1,1
2.08E-07,0.545949148,1,1,1
0,0.550524931,1,1,1
0,0.555304836,1,1,1
0,0.548922698,1,1,1
0,0.557107148,1,1,1
0,0.55344162,1,1,1
0,0.522874518,1,1,1
0,0.416633953,1,1,1
0,0.312272525,1,1,1
0,0.277564095,1,1,1
0,0.270980439,1,1,1
0,0.275745416,1,1,1
0.011007026,0.277097423,1,1,1
0.069321107,0.292705402,1,1,1
0.155863778,0.360669587,1,1,1
0.248619642,0.48718561,1,1,1
0.321033378,0.561550059,1,1,1
0.353616362,0.58785438,1,1,1
0.341159142,0.598108562,1,1,1
0.284778093,0.597667844,1,1,1
0.193020592,0.596280791,1,1,1
0.097280155,0.588921728,1,1,1
0.033067309,0.568163705,1,1,1
0.004751371,0.5474055,1,1,1
4.26E-07,0.525254434,1,1,1
0,0.507729607,1,1,1
0,0.478586858,1,1,1
0,0.469335928,1,1,1
0,0.468538585,1,1,1
0,0.471089955,1,1,1
0,0.458346214,1,1,1
0,0.354073319,1,1,1
0,0.270478925,1,1,1
0,0.248485103,1,1,1
0,0.259578484,1,1,1
0,0.273996113,1,1,1
0.011054521,0.289161867,1,1,1
0.069515467,0.308344783,1,1,1
0.156334802,0.392573635,1,1,1
0.249458841,0.489525029,1,1,1
0.322266644,0.543481023,1,1,1
0.355221086,0.549136022,1,1,1
0.343090779,0.536675678,1,1,1
0.286950486,0.518065887,1,1,1
0.195174722,0.499070272,1,1,1
0.098846932,0.487031884,1,1,1
0.033827681,0.464937722,1,1,1
0.004987481,0.461456082,1,1,1
7.54E-07,0.463375023,1,1,1
0,0.472908312,1,1,1
0,0.480084296,1,1,1
0,0.488982887,1,1,1
0,0.496579754,1,1,1
0,0.508193578,1,1,1
0,0.509921105,1,1,1
0,0.433515393,1,1,1
0,0.345029299,1,1,1
0,0.283428222,1,1,1
0,0.267741492,1,1,1
0,0.272761938,1,1,1
0.011125649,0.282933384,1,1,1
0.069766553,0.316047224,1,1,1
0.156889342,0.399245377,1,1,1
0.25039966,0.513095197,1,1,1
0.323605867,0.568187796,1,1,1
0.356928926,0.5849014,1,1,1
0.345119935,0.58690348,1,1,1
0.289213095,0.577213064,1,1,1
0.197412137,0.578860441,1,1,1
0.100475771,0.574716037,1,1,1
0.034621728,0.54961901,1,1,1
0.005237829,0.546872095,1,1,1
1.20E-06,0.540978136,1,1,1
0,0.518492746,1,1,1
0,0.497306807,1,1,1
0,0.47514337,1,1,1
0,0.475105551,1,1,1
0,0.475525488,1,1,1
0,0.463169006,1,1,1
0,0.376552962,1,1,1
0,0.283054413,1,1,1
0,0.245492009,1,1,1
0,0.238997842,1,1,1
0,0.247858576,1,1,1
0.01122062,0.255510773,1,1,1
0.070074515,0.273905777,1,1,1
0.157527452,0.30956112,1,1,1
0.251441851,0.406375087,1,1,1
0.325050377,0.466056538,1,1,1
0.358738883,0.493860535,1,1,1
0.347245359,0.505733354,1,1,1
0.29156455,0.503406974,1,1,1
0.199731789,0.49222368,1,1,1
0.10216659,0.476806644,1,1,1
0.035450004,0.455286815,1,1,1
0.005502804,0.440906274,1,1,1
1.84E-06,0.433981077,1,1,1
