Commercial,Industrial,Residential,Transportation
2349.956505,5093.488267,15203.10616,31358.91996
2332.547095,5023.944508,9442.633655,19418.6515
2349.937386,4774.390805,5711.195785,16340.38591
2369.111867,4578.628525,5115.783176,13844.41946
2444.755849,4501.501496,4419.399537,10062.81541
2583.176169,4538.198776,5320.746302,11513.44699
6485.481461,4467.948322,9914.619789,6489.836602
7466.934297,4671.67029,20789.77891,11853.13715
7250.912541,4455.687136,32165.34111,21339.21886
6719.746031,4274.925947,36265.95612,36443.07496
6104.69302,4099.22195,36486.88821,49831.606
6078.290708,4170.42893,37617.88471,65061.07968
6321.973968,4228.870181,36882.0558,80821.59215
6297.035379,4237.575812,36753.87587,84951.10474
6418.423869,4310.501794,31699.62871,89314.87816
6397.602462,4284.820436,31256.88576,94751.47583
6459.770804,4297.845255,32227.98867,104589.8003
2876.479548,4315.862454,38146.01372,101150.3322
2898.628799,4399.922828,38414.15234,118140.6822
2809.472613,4352.496152,44386.14246,116785.8815
2763.060197,4468.196211,41315.65514,101306.2295
2667.120129,4542.45716,37053.63649,85251.89642
2540.700587,4659.098163,24510.87616,75046.96167
2371.34293,4904.854208,18571.02453,52415.60688
2045.150802,6048.076603,10705.13224,20177.77661
1973.358772,6000.199968,7393.021631,13176.28869
1954.581265,5994.883521,4312.774678,10231.65599
1984.60734,5928.793252,4187.282489,10293.38147
2071.168489,5929.710514,6017.623136,9456.145896
2218.707927,6160.497849,10034.39168,14742.57403
6617.735373,6319.364407,20245.92925,19398.37272
7433.456676,6783.553511,28901.98042,35693.50353
7459.864758,7044.770023,27467.40337,40820.70263
7267.676898,7285.970999,19144.58484,40219.05111
6633.524726,7057.680801,21000.37942,44322.45989
6462.31791,7097.92709,23895.19977,53899.05316
6788.676345,7187.446072,21829.90557,61204.89365
6713.046628,7227.251338,20865.26968,63708.53713
6682.579881,7200.538287,21065.58336,72419.84058
6757.503604,7172.96608,19612.32639,97166.38803
6998.235121,7209.013319,21961.63144,130098.1471
3056.793056,7220.643469,30671.11756,155418.1266
2987.239593,7290.99442,35901.11076,127196.037
2857.184904,7367.652284,38181.33725,75655.4172
2647.986562,7393.279082,39278.19119,55093.86471
2447.496561,7292.485963,36452.52645,41313.5564
2269.389019,7044.1312,22844.56206,34917.50132
2154.480281,6763.648738,15849.78144,25980.51731
1991.00039,6276.805345,10220.16072,17195.40277
1929.634289,6113.513513,7234.690433,12979.63281
1906.160406,6124.254592,4198.355002,10063.90534
1934.505813,6085.025645,4100.196752,10152.66697
2036.678952,6162.678445,5947.409346,9401.033341
2213.346071,6821.31304,10043.74619,14889.454
16470.86739,8278.816314,19870.27943,19225.87458
16930.27047,8606.436026,28971.02676,36151.91788
14008.89686,8264.793941,27778.29187,41738.76065
11946.18591,8100.648556,19196.01771,40834.94517
10320.80152,7639.289353,20950.83101,44587.83832
9752.536568,7643.362547,24016.89565,54577.61181
10049.03062,7778.351888,22021.58945,62216.21008
9881.036991,7820.100047,21122.76022,64881.9624
9870.032321,7812.325644,21426.68419,74056.2334
10113.13808,7817.124993,19996.91692,99547.3042
10768.92836,7874.156639,22411.29688,133084.9562
3095.389666,7845.074108,32853.02026,157821.3204
