Commercial,Industrial,Residential,Transportation
177720.4524,109563.8862,169055.1781,55394.87204
174775.7524,108329.9727,164424.5273,37636.09187
173068.7346,102035.2118,165179.5715,33108.39235
171107.256,96909.00505,168945.2132,29324.77714
171560.737,94888.40245,173679.5574,23657.27508
175950.7273,95160.50749,177583.4642,25766.99119
177176.6272,92220.61311,194735.3987,29491.08155
190113.3526,94437.13994,192401.0821,37539.08966
188441.1672,90629.29656,205530.7653,50748.86679
186865.7902,88878.85074,211407.2044,72886.76202
182498.5154,87065.14704,217306.912,92491.40664
186065.6812,89121.9126,211611.2549,115553.6248
187781.8674,89705.70949,206180.9371,138995.1173
187496.5762,89905.60782,200252.8069,145237.8699
189948.5394,91329.89797,192286.5517,152152.4598
189317.7325,90461.31545,196718.4685,160266.3407
192474.1981,90242.67226,214015.696,175008.317
198867.9375,90005.66629,251370.8274,170024.6428
204003.0979,92835.28982,250737.9896,196050.2831
198818.1269,92587.41127,244639.4602,194133.3012
199408.3092,94765.60554,231312.6223,171684.4556
195870.8321,96458.46368,218059.4371,148112.6477
189241.2044,99380.32243,201962.1362,120174.7114
177976.4282,106415.3892,187354.2711,86391.10031
156895.5985,136745.2051,167565.9612,37691.47379
150600.2935,137249.8409,166215.4578,27064.38549
148681.7236,137532.3465,167581.7344,22600.98702
149428.2842,135351.4429,174834.8939,22638.58606
152925.4806,134955.1565,186774.9141,21347.33436
161398.9344,140260.8561,198133.4246,29110.43166
165017.6516,141832.8313,221927.3758,44862.04984
177189.3998,152873.1923,217049.0881,68775.27951
184650.7348,161292.4213,214116.0524,76359.20966
194852.1434,169909.291,205943.0143,76084.11652
192420.2514,167076.1127,215211.1488,81978.82717
194245.1756,169090.6688,207822.4538,96386.05543
196034.7691,169963.2901,199195.8472,107219.065
195383.7186,170899.7051,190708.2257,111053.8284
194086.4871,169817.7343,187395.6528,124069.6022
194977.353,168103.2032,191212.5226,160954.2844
200245.872,167150.6044,211252.0331,210195.9774
208556.7216,165128.6088,251070.1468,248116.8104
211676.3029,167920.875,264345.1797,207188.0391
209297.5559,170888.4707,262258.4209,131469.1928
204450.9398,170836.5695,254580.9666,101118.6349
196378.6117,168188.6577,245396.9906,80646.42261
186160.6296,161603.5375,234048.2167,59669.5713
178789.6285,153971.2235,223827.3256,46372.45829
170164.8464,141599.3469,229808.6994,33108.67499
165233.1481,137930.6007,231764.4356,26680.56715
164109.1069,138384.7134,234210.925,22254.0815
166117.4767,136531.5611,243115.8237,22341.91178
173173.7507,137439.0373,259134.36,21238.45986
197160.6565,146857.4982,274643.9151,29401.51648
247111.7746,154973.4617,288451.2253,44488.36398
261070.7917,167412.4777,283642.4649,69684.25509
248264.8779,173160.3937,277130.2008,78109.77848
242703.8825,178716.9391,260620.0755,77293.71997
229228.4825,173211.0885,263787.7678,82488.94387
227805.0143,175665.7599,247929.252,97601.02132
229167.9868,177404.8792,233959.3901,108997.1677
228025.1982,178642.219,222899.2369,113121.628
227033.8184,178005.1172,216209.8516,126889.9654
228827.8839,176564.6341,216509.8619,164918.0804
236666.0151,175280.5391,235817.6451,215039.473
246127.3206,171988.2536,280109.2588,251996.1103
253832.0991,174990.6565,292262.5154,210896.0441
257487.7908,177510.3697,288648.384,132631.1558
254381.1818,177097.2426,280852.4459,101354.2681
220500.7124,174049.6176,277250.6243,82347.75882
202210.8697,166434.3631,267790.8871,61030.05015
193868.2862,157885.1722,256527.6868,47227.96698
186604.0844,148255.2648,255597.9186,34553.54707
181389.5859,144483.5619,256289.8567,27897.61011
179684.0875,144786.2194,257403.2647,23256.9463
181180.5459,142777.0035,264492.493,23328.15583
187912.0441,143402.9602,278760.4919,22146.63459
211799.5733,152458.0824,292476.359,30489.92041
267150.5804,161423.8797,299373.5653,45545.28531
278189.6774,173265.252,289296.433,71251.77912
256534.7214,176612.2811,277648.6826,79965.90989
247497.6802,181619.7941,253423.1154,79024.25672
231375.7544,175513.2663,250961.9589,84131.66429
228389.8932,177441.3657,230550.7369,99295.99057
228272.2444,178930.5114,213295.463,110895.3165
226499.7222,180361.7066,199912.0929,115306.3919
225037.5959,179911.2216,191893.5075,129609.0506
226497.2697,178537.4807,190562.5248,168751.9465
232326.8706,176339.7017,208126.1812,218999.1941
239335.3392,172402.0365,249664.2398,255460.6119
244422.6002,174354.2661,259764.8301,212412.4679
246038.6135,176546.2349,255516.1483,133555.2939
241699.6823,176162.9165,246279.9148,102078.4935
209794.363,173376.4242,239442.4329,82579.47171
191664.8475,165887.9723,227615.353,61077.47805
182508.5909,157230.0775,215371.1144,47202.40753
174116.1844,147493.8037,214442.4355,34591.46861
168500.6099,143487.3266,214809.7433,27864.10997
166302.5545,143626.0168,215647.7349,23209.96994
167370.8664,141648.5728,222344.7111,23303.12909
173768.3342,142613.212,236941.3238,22192.03326
196178.966,151817.2947,252161.6106,30653.75376
235170.6808,158649.2587,268914.055,46703.08911
247450.618,171346.5254,256983.5139,73025.42756
234030.1859,175883.0474,240878.386,81040.47197
228531.7736,181111.4018,215592.2462,79893.89062
216075.8919,175350.7202,214192.4154,84971.573
215067.6059,177377.8999,196262.4343,100294.0757
215088.6261,178722.7923,181753.0766,112029.0575
213895.6285,179812.4736,170764.6983,116178.6723
211968.2148,178464.0648,164872.4064,129857.4953
211288.1429,175660.0691,163885.1615,167698.2315
214296.2017,172915.0182,180245.406,217013.1614
221267.9492,170610.6333,217953.4747,255845.4225
225927.4227,172876.2576,230257.3461,212998.0111
228254.471,176215.5047,225616.8011,134644.0312
225283.4995,176663.0407,215762.2498,103569.5616
200902.0124,175252.2794,206461.213,84124.81521
187597.1557,169503.7698,193202.9723,62758.85303
179452.7403,161628.4714,180164.8501,48858.31062
172904.7406,153398.3779,176646.9134,36156.3203
166894.7129,149492.9935,177922.3489,29161.28492
164015.6126,149451.3136,179553.5057,24223.03735
164608.0943,147013.735,187288.6545,24260.49632
170183.069,147433.2806,202395.0018,22999.46049
189536.8632,155884.3019,218118.0456,31743.95339
212119.2129,160240.5931,244526.7888,48969.95055
230132.0033,172845.6686,229844.2216,75452.24362
222209.0772,177729.0037,214202.2727,83096.2816
220021.186,183639.1848,189810.1817,81856.51816
210203.388,178266.9917,189282.302,87026.40782
208787.3045,178916.5027,175272.3242,101808.1533
208242.3497,179554.278,163553.395,113250.0804
206786.5774,179880.5314,154637.8186,116877.4248
203898.0255,177367.7893,150813.5253,129729.1027
201971.7257,173700.0123,150784.4013,166594.4461
202074.1063,169425.3101,165400.9937,213649.581
205495.1914,165851.2475,197642.5872,250272.8174
205686.9876,166171.6577,207975.0051,205963.2138
205320.318,168550.0948,200627.4342,129671.4785
202157.2562,169290.9555,190099.7048,100044.8304
185640.8501,169527.139,180857.8509,81761.24349
176996.3649,165761.7893,167994.9973,61583.65006
172211.5806,157234.5815,156416.8624,50073.50842
178637.5488,115037.0061,173225.8247,54495.98501
175699.6992,108376.0773,172176.8234,37518.782
173913.8576,101684.8547,175349.0438,32864.36126
172916.1873,96758.56275,182131.5848,29114.42523
174953.1748,95150.23835,190001.5147,23533.07465
186523.7556,96692.44733,195492.9187,25702.74367
195613.495,95400.41038,214978.2628,29545.0908
212515.975,99510.65918,213425.5332,38577.87849
210876.4179,96440.55905,227389.1548,53371.15501
208510.1073,94954.61341,233177.425,77695.37682
203441.2995,93049.01052,236394.1966,98294.72264
205285.5802,94704.45748,225260.437,122224.2683
203724.5011,94463.56325,215411.2375,145687.1914
200632.8924,94003.68807,207516.7536,151302.7793
201979.329,95169.94063,198330.2305,158128.2458
200244.8073,94074.60014,201314.5991,166275.3836
201227.5948,93230.95097,216259.2358,180424.5442
205394.8249,92532.8217,251925.6506,174464.6094
207931.4481,94783.28728,250124.7165,200421.5953
203387.096,94315.67958,241653.6997,197148.6488
203558.6097,96251.80183,226397.2894,173674.5242
200423.0161,97999.02171,211138.4733,149901.1318
191994.5041,101279.0134,194669.9581,122709.7237
181794.2536,106142.0611,180455.1861,90199.85038
171678.885,105724.3328,178849.9114,56929.50196
168350.4622,104345.7807,176277.3878,36228.09861
167555.7976,98330.52362,179832.9446,31865.55357
167103.4142,93792.62903,186265.7708,28326.78301
168839.4364,92199.5613,193340.5883,22939.89629
174880.1565,93082.39432,200139.0512,25143.54861
179208.9765,91333.66789,219541.1922,29102.52075
197764.3122,95304.48666,217567.0654,37686.65473
199902.9124,93098.95593,229269.51,51751.90348
198577.956,91549.91137,234133.8035,74570.80754
192589.5832,89381.52803,238615.8284,94366.55651
195446.3522,91509.02793,229176.6645,118080.125
